ACCESSION_NUMBER	OWNERSIGNATURENAME	OWNERSIGNATUREDATE
0001506307-24-000101	/s/ Dax Sanders	01-AUG-2024
0001578563-24-000350	/s/ Donald R. Reynolds, Attorney-in-Fact	02-AUG-2024
0001578563-24-000349	/s/ S. Halle Vakani, Attorney-in-Fact	02-AUG-2024
0001578563-24-000348	/s/ S. Halle Vakani, Attorney-in-Fact	02-AUG-2024
0001578563-24-000347	/s/ Donald R. Reynolds, Attorney-in-Fact	02-AUG-2024
0001506307-24-000100	/s/ Kevin P Grahmann	01-AUG-2024
0001534701-24-000133	/s/ Jenarae N. Garland, Attorney in Fact	02-AUG-2024
0001578563-24-000346	/s/ S. Halle Vakani, Attorney-in-Fact	02-AUG-2024
0001578563-24-000345	/s/ S. Halle Vakani, Attorney-in-Fact	02-AUG-2024
0000950170-24-090123	/s/ Kevin A. Ball, Attorney-in-Fact	02-AUG-2024
0001013857-24-000166	/s/ Ewelina Kemp, Attorney-in-Fact for Leon Trefler	02-AUG-2024
0001557341-24-000005	Christopher Cox	02-AUG-2024
0001415889-24-020651	/s/ Salini Nandipati , Attorney-in-Fact	02-AUG-2024
0001828723-24-000088	/s/ Sophia Lee, as Attorney-in-Fact	02-AUG-2024
0001867096-24-000141	/s/ Beth Hecht, as Attorney-in-Fact	02-AUG-2024
0001214659-24-013691	Kenneth J. Krogulski by /s/ John Hamm as attorney-in-fact	02-AUG-2024
0001013857-24-000164	/s/ Ewelina Kemp, Attorney-in-Fact for Efstathios A. Kouninis	02-AUG-2024
0001214659-24-013689	A.J. Kazimi by /s/ John Hamm as attorney-in-fact	02-AUG-2024
0001214659-24-013687	James Jones by /s/ John Hamm as attorney-in-fact	02-AUG-2024
0001214659-24-013685	A.J. Kazimi by /s/ John Hamm as attorney-in-fact	02-AUG-2024
0001415889-24-020646	/s/ John S. Hess, Jr. under Power of Attorney	02-AUG-2024
0000897069-24-001608	/s/ Wendy Guy by Michael B. Kirwan, as Attorney-in-Fact	02-AUG-2024
0001127602-24-021533	/s/ Vikas Arora attorney-in-fact for Mitchell R Butier	02-AUG-2024
0001127602-24-021532	/s/ Johnell C. Holland, Attorney-in-fact	02-AUG-2024
0001628280-24-034474	/s/ Denis Arsenault	02-AUG-2024
0000897069-24-001606	/s/s David Young by Michael B. Kirwan, as Attorney-in-Fact	02-AUG-2024
0001065280-24-000222	By: Veronique Bourdeau, Authorized Signatory For: Ann Mather	02-AUG-2024
0001065280-24-000221	By: Veronique Bourdeau, Authorized Signatory For: Strive Masiyiwa	02-AUG-2024
0001065280-24-000220	By: Veronique Bourdeau, Authorized Signatory For: Mathias Dopfner	02-AUG-2024
0001065280-24-000219	By: Veronique Bourdeau, Authorized Signatory For: Leslie J. Kilgore	02-AUG-2024
0001065280-24-000218	By: Veronique Bourdeau, Authorized Signatory For: Jeffrey Karbowski	02-AUG-2024
0001065280-24-000217	By: Veronique Bourdeau, Authorized Signatory For: Richard N. Barton	02-AUG-2024
0001065280-24-000216	By: Veronique Bourdeau, Authorized Signatory For: Bradford L. Smith	02-AUG-2024
0001065280-24-000215	By: Veronique Bourdeau, Authorized Signatory For: Timothy M. Haley	02-AUG-2024
0001065280-24-000214	By: Veronique Bourdeau, Authorized Signatory For: Anne M. Sweeney	02-AUG-2024
0001967680-24-000117	/s/ James Tanaka, as attorney-in-fact	02-AUG-2024
0000950170-24-090100	/s/ Matthew Paque, attorney-in-fact	02-AUG-2024
0001127602-24-021529	/s/ Johnell C. Holland, Attorney-in-fact	02-AUG-2024
0001415889-24-020645	/s/ John C. Grothaus, Attorney-in-fact	02-AUG-2024
0000897069-24-001604	/s/ Ryan H. Duran	02-AUG-2024
0001283699-24-000114	/s/ Frederick Williams, Attorney-in-Fact	02-AUG-2024
0001437749-24-024509	/s/ James Sullivan	02-AUG-2024
0001062993-24-014375	Susan M. Diamond	02-AUG-2024
0001127602-24-021527	/s/ Johnell C. Holland, Attorney-in-fact	02-AUG-2024
0001679049-24-000119	/s/James D. Small III, Attorney-in-Fact, pursuant to power of attorney previously filed	02-AUG-2024
0000315213-24-000090	/s/ Dirk A. Kempthorne	02-AUG-2024
0001987646-24-000002	Juergen Schumacher	02-AUG-2024
0001935874-24-000012	Will Jordan	02-AUG-2024
0001654954-24-009894	/s/ Stephen T. Wills by Stephen A. Slusher, Attorney-in-Fact	02-AUG-2024
0000313616-24-000214	/s/ James F. O'Reilly, attorney-in-fact for Rainer Blair	02-AUG-2024
0000313616-24-000213	/s/ James F. O'Reilly, attorney-in-fact for Linda Filler	02-AUG-2024
0000313616-24-000212	/s/ James F. O'Reilly, attorney-in-fact for Matthew McGrew	02-AUG-2024
0001214659-24-013668	/s/ Janet Lee, Attorney-in-Fact	02-AUG-2024
0000950170-24-090084	/s/ David K.F. Gillis, as Attorney-in-Fact	01-AUG-2024
0000950170-24-090083	/s/ David K.F. Gillis, as Attorney-in-Fact	02-AUG-2024
0000950170-24-090082	/s/ J Bryant Kirkland III, Attorney in Fact	02-AUG-2024
0001828723-24-000087	/s/ Sophia Lee, as Attorney-in-Fact	02-AUG-2024
0001065280-24-000204	Veronique Bourdeau, Authorized Signatory For: Reed Hastings	02-AUG-2024
0001127602-24-021525	/s/ Johnell C. Holland, Attorney-in-fact	02-AUG-2024
0001437749-24-024506	/s/ Joshua A. Sherbin	02-AUG-2024
0001437749-24-024504	/s/ Joshua A. Sherbin as Attorney In Fact for Jacob Owen Farmer	02-AUG-2024
0001437749-24-024503	/s/ Michael DePasquale	02-AUG-2024
0001546417-24-000121	/s/ Kelly Lefferts, Attorney in Fact	02-AUG-2024
0001987646-24-000001	Juergen Schumacher	02-AUG-2024
0001451809-24-000213	Samsheer Ahamad, as Attorney-in-Fact	02-AUG-2024
0001127602-24-021522	/s/ Johnell C. Holland, Attorney-in-fact	02-AUG-2024
0001415889-24-020643	/s/ Ivan A. Colao, Attorney-in-Fact for Rainey E. Lancaster	02-AUG-2024
0001415889-24-020643	/s/ Ivan A. Colao, Attorney-in-Fact for James H. Dahl	02-AUG-2024
0001415889-24-020642	/s/ Lawrance A. Barbetta	02-AUG-2024
0001127602-24-021521	/s/ Johnell C. Holland, Attorney-in-fact	02-AUG-2024
0001127602-24-021520	/s/ Ryan Session, by power of attorney	02-AUG-2024
0001127602-24-021518	/s/ Johnell C. Holland, Attorney-in-fact	02-AUG-2024
0000108385-24-000035	/s/Bert De Los Santos Attorney-in-fact	02-AUG-2024
0001104659-24-085421	/s/ Gerard L. Conway Jr., Attorney-in-Fact	02-AUG-2024
0001935874-24-000011	Jack W Bell	02-AUG-2024
0001127602-24-021516	/s/ Johnell C. Holland, Attorney-in-fact	02-AUG-2024
0001801169-24-000141	/s/ Carrie Wheeler, Attorney-in-fact	02-AUG-2024
0001062993-24-014373	/s/ Frederic D. Fenton Authorized signatory for Jay C. Hoag	02-AUG-2024
0001104659-24-085419	/s/ Gerard L. Conway, Jr., Attorney-in-Fact	02-AUG-2024
0001628280-24-034463	/s/ Richard E. Drews Jr., by Jeff Shanks as Attorney-in-Fact	02-AUG-2024
0001127602-24-021515	/s/ Johnell C. Holland, Attorney-in-fact	02-AUG-2024
0001104659-24-085416	/s/ Gerard L. Conway, Jr., Attorney-in-Fact	02-AUG-2024
0001127602-24-021514	/s/ Johnell C. Holland, Attorney-in-fact	02-AUG-2024
0001468327-24-000240	/s/ Cara Schembri as Attorney in- fact for Jennifer Y. Hyman	02-AUG-2024
0001104659-24-085414	/s/ Gerard L. Conway, Jr., Attorney-in-Fact	02-AUG-2024
0001127602-24-021513	/s/ Johnell C. Holland, Attorney-in-fact	02-AUG-2024
0001437749-24-024500	/s/ Steven Lanter, pursuant to power of attorney	02-AUG-2024
0001673985-24-000111	/s/ Achilles B. Kintiroglou for Erin N. Kane	02-AUG-2024
0001045810-24-000247	/s/ Rebecca Peters, Attorney-in-Fact for Jen-Hsun Huang	02-AUG-2024
0001235126-24-000034	Robert B. Goldberg, under power of attorney	02-AUG-2024
0001127602-24-021511	/s/ Johnell C. Holland, Attorney-in-fact	02-AUG-2024
0001628280-24-034459	/s/ Craig D. Apolinsky, Attorney-in-Fact for John C. Turner, Jr.	02-AUG-2024
0000950170-24-090060	/s/ Nathan McConarty, attorney-in-fact	02-AUG-2024
0001415889-24-020639	/s/ Amy C. Seidel, Attorney-in-Fact	02-AUG-2024
0001673985-24-000109	/s/ Achilles B. Kintiroglou	02-AUG-2024
0001062993-24-014371	/s/ Renee Strandness, attorney-in-fact	02-AUG-2024
0001628280-24-034457	/s/ Max Goodman, Attorney-in-Fact	02-AUG-2024
0000950170-24-090054	/s/ Alison M. Walsh, Attorney-in-fact	02-AUG-2024
0001628280-24-034456	/s/ Max Goodman, Attorney-in-Fact	02-AUG-2024
0001499832-24-000106	/s/Allison Zolot as Attorney-in-Fact for Scott Schatz	02-AUG-2024
0001628280-24-034455	/s/ Max Goodman, Attorney-in-Fact	02-AUG-2024
0000950170-24-090053	/s/ Nathan McConarty, attorney-in-fact	02-AUG-2024
0000110471-24-000141	/s/ David Latchana, by Power of Attorney	02-AUG-2024
0001127602-24-021510	/s/ Johnell C. Holland, Attorney-in-fact	02-AUG-2024
0001499832-24-000104	/s/**Allison Zolot as Attorney-in-Fact for Erik Hellum	02-AUG-2024
0000950170-24-090052	/s/ Joseph Douglas Lyon, as attorney-in-fact for Joseph K. Belanoff.	02-AUG-2024
0000110471-24-000140	/s/ David Latchana, by Power of Attorney	02-AUG-2024
0000919574-24-004260	Bruce R. Berkowitz, By: /s/ Erica K. Kapahi (Attorney in Fact)	02-AUG-2024
0000919574-24-004260	Fairholme Funds, Inc., By: Fairholme Capital Management, L.L.C., Investment Manager, Bruce R. Berkowitz, By: /s/ Erica K. Kapahi (Attorney in Fact)	02-AUG-2024
0001127602-24-021509	/s/ Jacqueline Bravo, as Attorney-in-Fact	01-AUG-2024
0001628280-24-034454	/s/ Craig D. Apolinsky, Attorney-in-Fact for George T. Hendren	02-AUG-2024
0001415889-24-020636	/s/ Yukio Morikubo, Attorney-in-fact on behalf of Jeffrey Dossett	02-AUG-2024
0000110471-24-000139	/s/ David Latchana, by Power of Attorney	02-AUG-2024
0000078890-24-000259	/s/ Beth Davis, Attorney-in-Fact	02-AUG-2024
0000078890-24-000258	/s/ Beth Davis, Attorney-in-Fact	02-AUG-2024
0001499832-24-000102	/s/ Allison Zolot as Attorney-in- Fact for Stuart Rosenstein	02-AUG-2024
0000078890-24-000257	/s/ Beth Davis, Attorney-in-Fact	02-AUG-2024
0000078890-24-000256	/s/ Beth Davis, Attorney-in-Fact	02-AUG-2024
0000078890-24-000255	/s/ Beth Davis, Attorney-in-Fact	02-AUG-2024
0001019849-24-000098	/s/ Shane M. Spradlin, by power of attorney	02-AUG-2024
0000078890-24-000254	/s/ Beth Davis, Attorney-in-Fact	02-AUG-2024
0000078890-24-000253	/s/ Beth Davis, Attorney-in-Fact	02-AUG-2024
0000110471-24-000137	/s/ David Latchana, by Power of Attorney	02-AUG-2024
0001210708-24-000060	/s/ Matthew K. Diamond, Attorney-in-Fact for Connia M. Nelson	02-AUG-2024
0001628280-24-034452	/s/ Craig D. Apolinsky, Attorney-in-Fact for Leigh R. Dobbs	02-AUG-2024
0000950170-24-090041	/s/ Kevin Tanji, Attorney-in Fact	02-AUG-2024
0002021300-24-000003	Michael Blechman	02-AUG-2024
0000110471-24-000136	/s/ David Latchana, by Power of Attorney	02-AUG-2024
0001210708-24-000058	/s/ Matthew K. Diamond, Attorney-in-Fact for Mimi K. Drake	02-AUG-2024
0000950170-24-090038	/s/ Alison M. Walsh, Attorney-in-fact	02-AUG-2024
0000929638-24-002712	/s/ Fund 1 Investments, LLC by: Benjamin C. Cable, Chief Operating Officer	02-AUG-2024
0000929638-24-002712	/s/ Pleasant Lake Partners LLC by: Fund 1 Investments, LLC, its Managing Member, by Benjamin C. Cable, Chief Operating Officer	02-AUG-2024
0000929638-24-002712	/s/ Pleasant Lake Onshore Feeder Fund, LP, by Pleasant Lake Partners LLC, its Investment Adviser, by Fund 1 Investments, LLC, its Managing Member, by Benjamin C. Cable, Chief Operating Officer	02-AUG-2024
0001104659-24-085403	/s/ Phillip Abraham	02-AUG-2024
0001210708-24-000056	/s/ Matthew K. Diamond, Attorney-in-Fact for Robert G. Pearse	02-AUG-2024
0000868671-24-000083	/s/ Martha Tannehill for Annie M. Goodwin	02-AUG-2024
0000110471-24-000135	/s/ David Latchana, by Power of Attorney	02-AUG-2024
0001104659-24-085401	/s/ Phillip Abraham, Attorney-In Fact	02-AUG-2024
0001628280-24-034450	/s/ Craig D. Apolinsky, Attorney-in-Fact for Scott M. Deakin	02-AUG-2024
0001104659-24-085400	/s/ Phillip Abraham, Attorney-In Fact	02-AUG-2024
0001415889-24-020633	/s/ Jeffrey D. Fick	02-AUG-2024
0001415889-24-020632	/s/ Jennifer L. Klobnak	02-AUG-2024
0001415889-24-020631	/s/ Craig W. Kliethermes	02-AUG-2024
0001415889-24-020630	/s/ Todd Wayne Bryant	02-AUG-2024
0001415889-24-020629	/s/ Jeffrey D. Fick, Attorney-in-Fact	02-AUG-2024
0001415889-24-020628	/s/ Jeffrey D. Fick, Attorney-in-Fact	02-AUG-2024
0000110471-24-000134	/s/ David Latchana, by Power of Attorney	02-AUG-2024
0001562088-24-000197	/s/ Stephen Chen, as Attorney-in-Fact for Severin Hacker	02-AUG-2024
0001104659-24-085398	/s/ Phillip Abraham, Attorney-In Fact	02-AUG-2024
0002031509-24-000004	/s/ Jared Brandman, as Attorney-in-Fact	02-AUG-2024
0001856314-24-000101	/s/ Kenneth Cornick, Attorney-in-Fact	02-AUG-2024
0001127602-24-021508	/s/ Alex Shukhman, attorney-in-fact	02-AUG-2024
0001834622-24-000103	/s/ Susan Canning, attorney-in-fact	02-AUG-2024
0001562088-24-000195	/s/ Stephen Chen, as Attorney-in-Fact for Matthew Skaruppa	02-AUG-2024
0001104659-24-085396	/s/ Phillip Abraham, Attorney-In Fact	02-AUG-2024
0001415889-24-020626	/s/ William J. Peters	02-AUG-2024
0001834622-24-000101	/s/ Susan Canning, attorney-in-fact	02-AUG-2024
0001628280-24-034447	/s/ Craig D. Apolinsky, Attorney-in-Fact for William Forrest Bell	02-AUG-2024
0001127602-24-021506	/s/ Kevin Tang for Craig Safian	02-AUG-2024
0001856314-24-000099	/s/ Lynn Haaland, Attorney-in-Fact	02-AUG-2024
0002031509-24-000003	/s/ Jared Brandman, as Attorney-in-Fact	02-AUG-2024
0001834622-24-000099	/s/ Susan Canning, attorney-in-fact	02-AUG-2024
0001127602-24-021504	/s/ Alex Shukhman, attorney-in-fact	02-AUG-2024
0001127602-24-021503	/s/ John J. Dziewisz	02-AUG-2024
0001178913-24-002392	/s/ Dana Yaacov-Garbeli	02-AUG-2024
0001773751-24-000242	/s/ Alexandra Cotter Wilkins, Attorney-in-Fact	02-AUG-2024
0001178913-24-002391	/s/ Dana Yaacov-Garbeli, Attorney-in-Fact	02-AUG-2024
0001127602-24-021501	/s/ Kevin Tang for Alwyn Dawkins	02-AUG-2024
0001856314-24-000097	/s/ Lynn Haaland, Attorney-in-Fact	02-AUG-2024
0001225208-24-007806	/s/ Hope M. Spencer, Attorney-in-Fact	02-AUG-2024
0001493152-24-030101	/s/ Leah E. Hutton, Attorney-in-Fact for Jenna D. Evans	02-AUG-2024
0001493152-24-030100	/s/ Leah E. Hutton, Attorney-in-Fact for Sean Bradley O'Neil	02-AUG-2024
0001493152-24-030099	/s/ Leah E. Hutton, Attorney-in-Fact for Scott William Anderson	02-AUG-2024
0001493152-24-030098	/s/ Leah E. Hutton, Attorney-in-Fact for Glen A. Messina	02-AUG-2024
0001493152-24-030096	/s/ Leah E. Hutton, Attorney-in-Fact for Dennis Zeleny	02-AUG-2024
0001493152-24-030095	/s/ Leah E. Hutton, Attorney-in-Fact for Aaron D. Wade	02-AUG-2024
0001493152-24-030094	/s/ Leah E. Hutton, Attorney-in-Fact for Joseph J. Samarias	02-AUG-2024
0001127602-24-021499	/s/ Alex Shukhman, attorney-in-fact	02-AUG-2024
0001415889-24-020624	/s/ Michael A. Bell, Attorney-in-Fact	02-AUG-2024
0001683168-24-005242	/s/ Jeremy Whitaker, Attorney-in-fact for Bernhard Bruscha	02-AUG-2024
0000950170-24-090019	/s/ Joel M. Williams, Attorney-in-Fact	02-AUG-2024
0000950170-24-090018	Sean Rahilly, attorney in fact	02-AUG-2024
0000950170-24-090017	/s/ Elizabeth Villalobos, Attorney-in-Fact for Josh D. Paul	02-AUG-2024
0000950170-24-090016	/s/ Elizabeth Villalobos, Attorney-in-Fact for Nir Zuk	02-AUG-2024
0000950170-24-090015	/s/ Michael R. Kolloway, as attorney-in-fact	02-AUG-2024
0000950170-24-090014	/s/Abigail Jarrell, by power-of-attorney	02-AUG-2024
0001628280-24-034441	/s/ Craig D. Apolinsky	02-AUG-2024
0001127602-24-021497	/s/ Kevin Tang for Anne Sutherland Fuchs	02-AUG-2024
0000950170-24-090012	/s/Abigail Jarrell, by power-of-attorney	02-AUG-2024
0001042167-24-000052	/s/ Phil R. Greenberg, via Power of Attorney	01-AUG-2024
0000923120-24-000053	By: Kim Moore, Attorney-In-Fact For: Laurie R. Dornan	01-AUG-2024
0000350852-24-000112	Andy D. Waters By: Cynthia L Adkins, Attorney-in-Fact	02-AUG-2024
0001530950-24-000232	/s/ Diedre J. Gray, Attorney-in-Fact	02-AUG-2024
0000081362-24-000114	Victoria K. Gehris, Attorney-in-Fact for Lucrece Foufopoulos-De Ridder	02-AUG-2024
0001493152-24-030092	/s/ Stanton K. Rideout	02-AUG-2024
0001127602-24-021494	/s/ Kevin Tang for William James Wartinbee III	02-AUG-2024
0001530950-24-000231	/s/ Diedre J. Gray, Attorney-in-Fact	02-AUG-2024
0001238884-24-000005	John Nicols	02-AUG-2024
0001127602-24-021492	/s/ Kevin Tang for Valentin Sribar	02-AUG-2024
0001035443-24-000232	/s/ Jennifer Consul, Attorney-in-Fact	01-AUG-2024
0001628280-24-034439	/s/ Jennifer C. McGarey, Attorney-in-Fact	02-AUG-2024
0001628280-24-034438	/s/ Craig D. Apolinsky, Attorney-in-Fact for William Bradley Southern	02-AUG-2024
0001530950-24-000230	/s/ Diedre J. Gray, Attorney-in-Fact	02-AUG-2024
0001023459-24-000102	/s/ Daniel Hoeft, attorney-in-fact for John Kenneth Paglia	02-AUG-2024
0000081362-24-000112	Victoria K. Gehris, Attorney-in-Fact for Lucrece Foufopoulos-De Ridder	02-AUG-2024
0001127602-24-021489	/s/ Kevin Tang for James C. Smith	02-AUG-2024
0001509589-24-000063	By: Adrian Milton, Attorney-in-Fact for Travis L. Counts	02-AUG-2024
0001610717-24-000410	/s/ Eric S. Whitaker, as Attorney-in-Fact for Alan Mateo	02-AUG-2024
0001023459-24-000100	/s/ Daniel Hoeft, attorney-in-fact for Daniel L. Weiner	02-AUG-2024
0001530950-24-000229	/s/ Diedre J. Gray, Attorney-in-Fact	02-AUG-2024
0001628280-24-034436	/s/ Craig D. Apolinsky, Attorney-in-Fact for J. David Smith	02-AUG-2024
0000905148-24-002048	/s/ Marv Gurevich, Esq., as attorney-in-fact for Todd G. Schwartz	02-AUG-2024
0001493152-24-030090	/s/ Stanton Rideout	02-AUG-2024
0001062993-24-014370	/s/ Steven F. Siegel, by power of attorney	02-AUG-2024
0001225208-24-007805	Thuy Vo, Attorney-In-Fact	02-AUG-2024
0001514281-24-000114	/s/ Jenny B. Neslin, Attorney-in-Fact for Lisa G. Quateman	02-AUG-2024
0001023459-24-000098	/s/ Daniel Hoeft, attorney-in-fact for Lisa LaVange	02-AUG-2024
0001127602-24-021487	/s/ Johnell C. Holland, Attorney-in-fact	02-AUG-2024
0001530950-24-000228	/s/ Diedre J. Gray, Attorney-in-Fact	02-AUG-2024
0001514281-24-000113	/s/ Jenny B. Neslin, Attorney-in-Fact for M. Christian Mitchell	02-AUG-2024
0001127602-24-021486	/s/ Kevin Tang for Scott Hensel	02-AUG-2024
0001050797-24-000133	Peter J. Bragdon	02-AUG-2024
0001628280-24-034430	/s/ Craig D. Apolinsky Attorney-in-Fact for Randolph W. Melville	02-AUG-2024
0001050797-24-000132	Peter J. Bragdon, Attorney-in-Fact	02-AUG-2024
0001439288-24-000127	/s/ Jeffrey J. LaValle, under Power of Attorney  for Timothy J. Jahnke	02-AUG-2024
0000950170-24-089997	Steven D. Rubin, Exec. VP - Administration	02-AUG-2024
0001530950-24-000227	/s/ Diedre J. Gray, Attorney-in-Fact	02-AUG-2024
0001023459-24-000096	/s/ Daniel Hoeft, attorney-in-fact for Sharlene Evans	02-AUG-2024
0000081362-24-000110	Victoria K. Gehris, Attorney-in-Fact for Nandita Bakhshi	02-AUG-2024
0001628280-24-034428	/s/ Joshua Lefkowitz, attorney-in-fact	02-AUG-2024
0001530950-24-000226	/s/ Diedre J. Gray, Attorney-in-Fact	02-AUG-2024
0001077428-24-000165	Mary Helen Hall, attorney-in-fact	02-AUG-2024
0001628280-24-034427	/s/ Craig D. Apolinsky, Attorney-in-Fact for Teri P. McClure	02-AUG-2024
0001127602-24-021483	/s/ Kevin Tang for Robin B. Kranich	02-AUG-2024
0000950170-24-089992	/s/ Scott M. Wilson as Attorney-in-Fact for D. Craig Kesler	02-AUG-2024
0001781755-24-000040	/s/ Seth Cohen	02-AUG-2024
0001437749-24-024492	/s/ John H. Batten	02-AUG-2024
0001547903-24-000144	/s/ William J. Leatherberry as Attorney-in-Fact	02-AUG-2024
0001127602-24-021481	/s/ Johnell C. Holland, Attorney-in-fact	02-AUG-2024
0001117297-24-000018	By: Gregory Wong For: Douglas Valenti	02-AUG-2024
0001023459-24-000094	/s/ Daniel Hoeft, attorney-in-fact for Walter S. Woltosz and Virginia E. Woltosz	02-AUG-2024
0001437749-24-024490	/s/ Michael Doar	02-AUG-2024
0000892251-24-000079	/s/ Allison A. Westfall as Attorney-in-Fact for Jim Rozakis	02-AUG-2024
0001437749-24-024488	/s/ David W. Johnson	02-AUG-2024
0001628280-24-034422	/s/ Craig D. Apolinsky, Attorney-in-Fact for Mitchell B. Lewis	02-AUG-2024
0001530950-24-000225	/s/ Diedre J. Gray, Attorney-in-Fact	02-AUG-2024
0001437749-24-024487	/s/ Jeffrey S. Knutson	02-AUG-2024
0001127602-24-021480	/s/ Kevin Tang for Eugene A. Hall	02-AUG-2024
0000310764-24-000100	/s/ Austin Y. Ke, attorney-in-fact for Glenn S. Boehnlein	02-AUG-2024
0001013237-24-000095	/s/ JEFFREY GERSHOWITZ, Attorney in Fact for Catrina Harding	02-AUG-2024
0001062993-24-014366	/s/ Andrew Nick, Attorney-in-Fact for Kim Kelderman pursuant to Power of Attorney previously filed.	02-AUG-2024
0001530950-24-000224	/s/ Diedre J. Gray, Attorney-in-Fact	02-AUG-2024
0000350852-24-000111	Andy D. Waters By: Cynthia L Adkins, Attorney-in-Fact	02-AUG-2024
0001628280-24-034419	/s/ Mark Parker	02-AUG-2024
0001415889-24-020622	/s/ Lindsey Cochran, by power of attorney	02-AUG-2024
0000081362-24-000108	Victoria K. Gehris, Attorney-in-Fact for Nandita Bakhshi	02-AUG-2024
0001013237-24-000093	/s/ JEFFREY GERSHOWITZ, Attorney in Fact for Gregory T. Moskoff	02-AUG-2024
0001628280-24-034417	/s/ Craig D. Apolinsky, Attorney-in-Fact for Theron I. Gilliam	02-AUG-2024
0001104659-24-085375	Title 19 Promis By: /s/ Michael S. Gordon, Manager	02-AUG-2024
0001127602-24-021477	/s/ Johnell C. Holland, Attorney-in-fact	02-AUG-2024
0000950170-24-089983	/s/Kathryn H. Shirley, attorney-in-fact for Raymond F. Wise	02-AUG-2024
0001679788-24-000150	/s/ Emilie Choi, by Lailey Rezai, Attorney-in-Fact	02-AUG-2024
0001562180-24-005958	Mary Anne Whitney	02-AUG-2024
0001104659-24-085371	/s/ Michael S. Gordon	02-AUG-2024
0001104659-24-085370	/s/ Michelle Wallach, as Attorney-in-Fact for Pamela McCormack	02-AUG-2024
0001104659-24-085369	/s/ Jeremy M. Sclar	02-AUG-2024
0000950142-24-002105	/s/ Jerome Maironi, Attorney-in-Fact	02-AUG-2024
0001214659-24-013642	Angela Grant, as Attorney-in-fact	02-AUG-2024
0001415889-24-020620	/s/ Michael A. Sherrick, Attorney-in-Fact	02-AUG-2024
0000950170-24-089977	/s/ W. Eric Marr, as Attorney-In-Fact for Angela K. Gosman	02-AUG-2024
0000950170-24-089976	/s/ Raymond Myer, Attorney-in-Fact for Vineet Nargolwala	02-AUG-2024
0000950170-24-089975	/s/ Scott M. Wilson as Attorney-in-Fact for Eric Cribbs	02-AUG-2024
0001628280-24-034414	/s/ Craig D. Apolinsky, Attorney-in-Fact for John J. Gavin	02-AUG-2024
0001415889-24-020619	/s/ Michael E. Tarvin, Attorney-in-Fact	02-AUG-2024
0001415889-24-020618	/s/  Michael E. Tarvin	02-AUG-2024
0000950170-24-089970	MSD AQUA PARTNERS, LLC By: MSD Partners, L.P. Its: Manager By: MSD Partners (GP), LLC Its: General Partner By: /s/ Robert K. Simonds Name: Robert K. Simonds Title: Authorized Signatory	02-AUG-2024
0000950170-24-089970	MSD PARTNERS, L.P. By: MSD Partners (GP), LLC Its: General Partner By: /s/ Robert K. Simonds Name: Robert K. Simonds Title: Authorized Signatory	02-AUG-2024
0001437749-24-024483	/s/ Amir Adnani	02-AUG-2024
0000799292-24-000076	/s/Phillip G. Creek, Attorney-in-fact for Robert H. Schottenstein	02-AUG-2024
0001547903-24-000142	/s/ William J. Leatherberry as Attorney-in-Fact	02-AUG-2024
0001127602-24-021475	/s/ Brian Grube, Attorney-in-Fact	02-AUG-2024
0001628280-24-034410	/s/ Craig D. Apolinsky, Attorney-in-Fact for Peter C. Browning	02-AUG-2024
0001639825-24-000103	/s/ Bart Goldstein as attorney-in-fact for Christopher Bruzzo	02-AUG-2024
0001639825-24-000102	/s/ Bart Goldstein as attorney-in-fact for Karen Boone	02-AUG-2024
0001415889-24-020617	/s/ Joshua L. Colburn, Attorney-in-Fact	02-AUG-2024
0001415889-24-020616	/s/ Joshua L. Colburn, Attorney-in-Fact	02-AUG-2024
0001415889-24-020615	/s/ Michael E. Tarvin, Attorney-in-Fact	02-AUG-2024
0001628280-24-034407	/s/ Jeffrey Lipschutz (POA) for Robert S. Strong	02-AUG-2024
0001415889-24-020614	/s/ Joshua L. Colburn, Attorney-in-Fact	02-AUG-2024
0001020569-24-000212	/s/ Keely Stewart, under Power of Attorney dated April 17, 2023, from John Tomovcsik	02-AUG-2024
0001516513-24-000055	/s/ Jennifer Chaloemtiarana, Attorney-in-Fact	02-AUG-2024
0000310764-24-000099	/s/ Austin Y. Ke, attorney-in-fact for Robert S Fletcher	02-AUG-2024
0001493152-24-030080	/s/ Mike Lomenzo, Attorney-in-Fact for Lisa Keith	02-AUG-2024
0001415889-24-020612	/s/ Joshua L. Colburn, Attorney-in-Fact	02-AUG-2024
0001140361-24-035543	KKR GROUP CO. INC. By: /s/ Christopher Lee Name: Christopher Lee Title: Secretary	02-AUG-2024
0001140361-24-035543	KKR & CO. INC. By: /s/ Christopher Lee Name: Christopher Lee Title: Secretary	02-AUG-2024
0001140361-24-035543	KKR MANAGEMENT LLP By: /s/ Christopher Lee Name: Christopher Lee Title: Assistant Secretary	02-AUG-2024
0001140361-24-035543	HENRY R. KRAVIS By: /s/ Christopher Lee Name: Christopher Lee Title: Attorney-in-fact	02-AUG-2024
0001140361-24-035543	GEORGE R. ROBERTS By: /s/ Christopher Lee Name: Christopher Lee Title: Attorney-in-fact	02-AUG-2024
0001140361-24-035543	KKR ALTERNATIVE ASSETS LLC By: /s/ Christopher Lee Name: Christopher Lee Title: Secretary	02-AUG-2024
